s,value,areaname,sexname,areacode,statname
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000011/earnings/annual-pay-gross/earnings-statistics/25-0/sex/male/working-pattern/full-time/gbp/value,1.90E+04,East Renfrewshire,Male,S12000011,25
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000011/earnings/annual-pay-gross/earnings-statistics/30-0/sex/male/working-pattern/full-time/gbp/value,2.05E+04,East Renfrewshire,Male,S12000011,30
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000011/earnings/annual-pay-gross/earnings-statistics/40-0/sex/male/working-pattern/full-time/gbp/value,2.11E+04,East Renfrewshire,Male,S12000011,40
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000036/earnings/annual-pay-gross/earnings-statistics/median/sex/male/working-pattern/full-time/gbp/value,3.20E+04,City of Edinburgh,Male,S12000036,Median
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000036/earnings/annual-pay-gross/earnings-statistics/mean/sex/male/working-pattern/full-time/gbp/value,4.12E+04,City of Edinburgh,Male,S12000036,Mean
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000036/earnings/annual-pay-gross/earnings-statistics/percentiles-10-0/sex/male/working-pattern/full-time/gbp/value,1.85E+04,City of Edinburgh,Male,S12000036,Percentiles 10.0
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000036/earnings/annual-pay-gross/earnings-statistics/20-0/sex/male/working-pattern/full-time/gbp/value,2.14E+04,City of Edinburgh,Male,S12000036,20
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000036/earnings/annual-pay-gross/earnings-statistics/25-0/sex/male/working-pattern/full-time/gbp/value,2.31E+04,City of Edinburgh,Male,S12000036,25
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000036/earnings/annual-pay-gross/earnings-statistics/30-0/sex/male/working-pattern/full-time/gbp/value,2.50E+04,City of Edinburgh,Male,S12000036,30
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000036/earnings/annual-pay-gross/earnings-statistics/40-0/sex/male/working-pattern/full-time/gbp/value,2.81E+04,City of Edinburgh,Male,S12000036,40
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000036/earnings/annual-pay-gross/earnings-statistics/60-0/sex/male/working-pattern/full-time/gbp/value,3.65E+04,City of Edinburgh,Male,S12000036,60
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000036/earnings/annual-pay-gross/earnings-statistics/70-0/sex/male/working-pattern/full-time/gbp/value,4.32E+04,City of Edinburgh,Male,S12000036,70
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000036/earnings/annual-pay-gross/earnings-statistics/75-0/sex/male/working-pattern/full-time/gbp/value,4.70E+04,City of Edinburgh,Male,S12000036,75
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000036/earnings/annual-pay-gross/earnings-statistics/80-0/sex/male/working-pattern/full-time/gbp/value,5.28E+04,City of Edinburgh,Male,S12000036,80
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000013/earnings/annual-pay-gross/earnings-statistics/mean/sex/male/working-pattern/full-time/gbp/value,2.99E+04,Na h-Eileanan Siar,Male,S12000013,Mean
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000014/earnings/annual-pay-gross/earnings-statistics/median/sex/male/working-pattern/full-time/gbp/value,2.94E+04,Falkirk,Male,S12000014,Median
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000014/earnings/annual-pay-gross/earnings-statistics/mean/sex/male/working-pattern/full-time/gbp/value,3.44E+04,Falkirk,Male,S12000014,Mean
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000014/earnings/annual-pay-gross/earnings-statistics/percentiles-10-0/sex/male/working-pattern/full-time/gbp/value,1.67E+04,Falkirk,Male,S12000014,Percentiles 10.0
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000014/earnings/annual-pay-gross/earnings-statistics/20-0/sex/male/working-pattern/full-time/gbp/value,2.07E+04,Falkirk,Male,S12000014,20
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000014/earnings/annual-pay-gross/earnings-statistics/25-0/sex/male/working-pattern/full-time/gbp/value,2.19E+04,Falkirk,Male,S12000014,25
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000014/earnings/annual-pay-gross/earnings-statistics/30-0/sex/male/working-pattern/full-time/gbp/value,2.34E+04,Falkirk,Male,S12000014,30
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000014/earnings/annual-pay-gross/earnings-statistics/40-0/sex/male/working-pattern/full-time/gbp/value,2.68E+04,Falkirk,Male,S12000014,40
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000014/earnings/annual-pay-gross/earnings-statistics/60-0/sex/male/working-pattern/full-time/gbp/value,3.32E+04,Falkirk,Male,S12000014,60
http://statistics.data.gov.uk/data/annual-survey-of-hours-and-earnings-2016-earnings/year/2016/geography/S12000014/earnings/annual-pay-gross/earnings-statistics/70-0/sex/male/working-pattern/full-time/gbp/value,3.68E+04,Falkirk,Male,S12000014,70
